month,China,Egypt,Greece,India,Malaysia,Netherlands,Other/Unknown,Russia,Saudi Arabia,Senegal,Singapore,Turkey,United Arab Emirates
2023-01-01,818.283,100.0,220.578,486.202,800.544,133.853,383.918,40.509,287.778,80.0,142.272,352.018,401.728
2023-02-01,680.111,0.0,348.016,398.24,424.743,194.771,206.032,185.309,388.7,52.5,88.7,145.323,261.007
2023-03-01,1005.247,30.0,691.103,199.101,862.935,105.397,121.245,148.674,551.523,84.0,85.0,330.598,247.526
2023-04-01,950.158,0.0,90.51,692.116,184.005,201.501,328.804,124.691,743.0,0.0,282.41,521.13,193.458
2023-05-01,1229.337,0.0,44.521,299.511,632.192,208.567,187.551,138.456,665.542,85.0,200.0,523.943,35.0
2023-06-01,437.174,0.0,160.097,592.33,357.754,120.938,236.778,70.329,850.417,88.041,170.0,201.089,330.652
2023-07-01,316.625,0.0,168.338,394.526,690.963,39.97,248.09,67.144,665.0,85.0,281.189,360.838,267.118
2023-08-01,321.773,0.0,129.204,705.703,515.499,189.903,207.124,154.454,495.0,30.0,265.585,351.173,264.837
2023-09-01,176.622,0.0,432.772,1427.98,544.691,128.0,266.714,65.937,0.0,128.9,289.854,343.319,238.16
2023-10-01,866.525,0.0,167.121,289.555,792.565,79.719,170.337,49.532,0.0,95.835,444.64,483.981,478.986
2023-11-01,873.076,0.0,161.233,534.732,1007.542,80.0,30.989,65.338,0.0,162.616,198.283,213.693,106.969
2023-12-01,699.634,30.354,372.53,587.097,384.924,79.949,378.914,128.024,0.0,85.0,637.896,329.021,290.757
2024-01-01,581.133,0.0,551.116,730.24,409.971,95.503,126.329,262.143,0.0,262.0,337.295,195.066,362.853
2024-02-01,722.447,0.0,479.071,615.075,145.0,100.0,218.888,101.012,0.0,187.314,601.692,119.019,69.924
2024-03-01,587.224,194.903,436.68,446.567,573.039,0.0,215.562,58.761,396.215,269.976,166.466,147.444,36.002
2024-04-01,323.696,364.124,254.223,517.598,135.0,203.894,284.036,41.369,186.0,98.048,397.991,288.825,256.395
2024-05-01,399.104,166.5,256.491,621.251,382.463,131.108,297.973,41.612,509.0,160.0,400.615,182.404,89.95
2024-06-01,376.59,199.892,173.45,639.66,174.043,0.0,144.575,77.693,395.996,172.0,594.32,202.586,309.659
2024-07-01,602.107,153.685,159.294,417.521,199.224,87.904,113.394,13.768,967.989,175.51,271.362,339.454,249.974
2024-08-01,647.895,0.0,281.851,502.687,91.2,101.49,213.148,147.943,898.304,347.04,239.178,142.709,298.708
2024-09-01,718.874,339.994,155.307,205.327,480.654,69.155,179.82,31.116,673.031,146.49,435.799,358.991,163.412
2024-10-01,234.015,0.0,132.592,570.122,320.0,84.45,241.002,190.587,866.163,191.469,555.151,329.944,137.581
2024-11-01,211.746,80.0,119.803,473.284,191.089,70.551,281.27,235.402,877.296,136.0,457.267,289.696,128.052
2024-12-01,744.105,5.0,179.883,339.533,452.447,90.892,189.566,124.728,1031.631,67.5,414.0,312.569,504.176
2025-01-01,279.836,183.0,179.657,577.144,271.286,130.135,471.76,102.871,186.5,204.0,866.319,376.033,249.85
2025-02-01,325.155,30.0,164.147,269.287,670.762,129.741,387.391,112.408,60.0,173.3,524.589,166.614,100.0
2025-03-01,500.315,132.457,119.557,350.28,353.428,105.981,240.64,108.304,324.93,169.022,840.23,261.516,145.3
2025-04-01,360.658,0.0,10.0,300.057,407.829,231.645,325.224,91.978,781.328,75.0,1090.727,250.886,108.0
2025-05-01,211.02,59.886,106.927,808.895,272.509,60.0,393.999,79.64,721.119,214.701,424.997,339.528,90.068
2025-06-01,531.116,0.0,102.786,289.679,303.0,60.495,398.844,182.783,1170.179,133.9,361.338,386.91,192.836
2025-07-01,247.193,305.923,37.0,287.547,92.864,23.25,105.335,81.248,1007.234,116.0,459.0,328.93,90.0
2025-08-01,429.133,209.925,34.832,276.851,140.0,162.998,499.146,45.906,937.073,0.0,697.15,386.766,420.55
2025-09-01,226.226,5.45,0.0,49.993,95.0,65.923,1761.581,117.446,100.0,0.0,279.923,252.192,0.0
